@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.168206,0.047619
normal,0.169794,0
normal,0.169794,0.05
normal,0.17146,0.052632
normal,0.173215,0.055556
normal,0.174141,0.058824
normal,0.176101,0
normal,0.176101,0.03125
anormal,0.176191,0.03125
normal,0.177232,0.068966
normal,0.179531,0.037037
normal,0.179724,0.038462
normal,0.180501,0.08
normal,0.182663,0.043478
normal,0.183607,0.045455
normal,0.18408,0.095238
normal,0.187255,0.052632
normal,0.187934,0.055556
anormal,0.189786,0.055556
normal,0.190527,0.058824
normal,0.191338,0.125
normal,0.195505,0
normal,0.194314,0.142857
normal,0.197842,0
normal,0.197842,0.166667
normal,0.202115,0
normal,0.200782,0.2
normal,0.20606,0
normal,0.20606,0
anormal,0.20461,0
normal,0.203095,0
normal,0.201508,0
normal,0.201508,0
normal,0.199841,0
normal,0.198087,0
anormal,0.196235,0
normal,0.194274,0
normal,0.194274,0
normal,0.193233,0
anormal,0.192191,0
normal,0.189892,0
normal,0.188657,0
normal,0.187375,0
normal,0.184709,0
normal,0.183259,0
anormal,0.181744,0
normal,0.17857,0
normal,0.176815,0
normal,0.174963,0
anormal,0.173112,0
normal,0.171151,0
anormal,0.166984,0
normal,0.166984,0
anormal,0.162222,0
normal,0.162222,0
normal,0.156667,0
normal,0.156667,0.142857
normal,0.154762,0.125
normal,0.158929,0
normal,0.158929,0.111111
normal,0.162632,0
normal,0.162632,0.1
normal,0.165966,0
normal,0.165966,0.090909
normal,0.168996,0.083333
normal,0.171774,0
normal,0.171774,0.076923
normal,0.174338,0.071429
normal,0.176719,0
normal,0.176719,0.066667
normal,0.178941,0.0625
normal,0.181024,0
normal,0.181024,0.058824
normal,0.182985,0
normal,0.182985,0.055556
normal,0.184837,0.052632
normal,0.186591,0
normal,0.186591,0.05
normal,0.188258,0
anormal,0.188258,0
anormal,0.188258,0
normal,0.188258,0.022222
normal,0.188999,0.065217
normal,0.191173,0.093023
normal,0.194273,0.051282
normal,0.195983,0.148649
anormal,0.200938,0.148649
normal,0.201131,0.055556
normal,0.198816,0
normal,0.198816,0
normal,0.195112,0.058824
normal,0.197073,0
normal,0.19374,0.0625
normal,0.195823,0
normal,0.192793,0.066667
normal,0.192237,0
normal,0.192237,0.071429
normal,0.192054,0
normal,0.189673,0
normal,0.189673,0.076923
normal,0.190015,0
normal,0.187932,0
normal,0.187932,0
normal,0.185971,0.083333
normal,0.188749,0
normal,0.186897,0
normal,0.185142,0
normal,0.185142,0
normal,0.183476,0.090909
normal,0.186506,0
normal,0.186506,0
normal,0.186506,0
normal,0.185765,0
normal,0.183591,0
normal,0.180491,0
normal,0.178781,0
normal,0.173826,0
normal,0.168871,0.1
normal,0.170353,0
normal,0.170353,0
normal,0.170353,0
normal,0.168392,0
normal,0.168392,0.090909
normal,0.169339,0
normal,0.169339,0
normal,0.167117,0.083333
normal,0.169895,0
normal,0.167514,0.076923
normal,0.170078,0
normal,0.170078,0
anormal,0.167514,0
normal,0.167514,0.153846
normal,0.172642,0.033333
normal,0.173753,0.032258
normal,0.17205,0.03125
normal,0.173092,0.060606
normal,0.175112,0.028571
normal,0.176065,0
anormal,0.176065,0
normal,0.173034,0
normal,0.173034,0.052632
normal,0.174789,0.05
normal,0.176455,0
normal,0.176455,0.047619
normal,0.178043,0
normal,0.178043,0.045455
normal,0.179558,0.043478
normal,0.181007,0
normal,0.177674,0.041667
normal,0.179063,0.04
normal,0.180396,0
normal,0.180396,0.038462
normal,0.181678,0.037037
normal,0.179882,0
normal,0.179882,0.035714
normal,0.181073,0
normal,0.178295,0.034483
normal,0.179444,0
normal,0.17688,0.033333
normal,0.177991,0.032258
normal,0.179067,0
normal,0.179067,0.09375
anormal,0.177064,0.09375
normal,0.179077,0.015385
normal,0.178515,0.015152
anormal,0.177978,0.015152
normal,0.176463,0.014493
normal,0.175994,0.029412
normal,0.176974,0
normal,0.176974,0
normal,0.176974,0
normal,0.17522,0.028571
anormal,0.174506,0.028571
anormal,0.175458,0.028571
normal,0.174823,0
normal,0.174823,0
normal,0.173308,0
normal,0.171859,0.027778
anormal,0.172785,0.027778
anormal,0.172322,0.027778
normal,0.171914,0
anormal,0.171914,0
anormal,0.170632,0
normal,0.169398,0
normal,0.169398,0
normal,0.168207,0
normal,0.168207,0
normal,0.167058,0
normal,0.167058,0.027778
normal,0.166873,0
normal,0.165797,0
normal,0.165797,0.028571
normal,0.163625,0
normal,0.1605,0.029412
normal,0.160967,0
normal,0.160462,0.030303
normal,0.160967,0
normal,0.160484,0.03125
normal,0.160545,0
normal,0.160545,0
anormal,0.160545,0
normal,0.160545,0.016667
normal,0.160149,0.033898
normal,0.160326,0.131579
anormal,0.16376,0.131579
normal,0.168146,0.035714
normal,0.169336,0.037037
normal,0.170571,0
normal,0.169645,0.038462
normal,0.170001,0.04
normal,0.170408,0.041667
normal,0.171797,0
normal,0.171797,0.043478
normal,0.173246,0.045455
normal,0.174762,0.047619
normal,0.176349,0
normal,0.176349,0.05
normal,0.178016,0.052632
normal,0.17977,0.055556
normal,0.180696,0.058824
normal,0.182657,0
normal,0.182657,0.0625
normal,0.183788,0.066667
normal,0.18601,0.071429
normal,0.18741,0
normal,0.18741,0.076923
normal,0.188964,0.083333
normal,0.191742,0
normal,0.190701,0.090909
normal,0.193731,0.1
normal,0.197064,0
normal,0.197064,0.111111
normal,0.200212,0
normal,0.199082,0.125
normal,0.198863,0
normal,0.194477,0.142857
normal,0.198049,0
normal,0.196814,0.166667
normal,0.20237,0
normal,0.201087,0.2
normal,0.206421,0
normal,0.205032,0
anormal,0.205032,0
normal,0.203583,0
anormal,0.202068,0
normal,0.20048,0
normal,0.20048,0
normal,0.198814,0
normal,0.197059,0.166667
normal,0.200763,0.2
normal,0.205469,0
normal,0.205469,0
anormal,0.203385,0
normal,0.201163,0.2
normal,0.205449,0
normal,0.205449,0
normal,0.202885,0
normal,0.200107,0
normal,0.200107,0.166667
normal,0.202632,0.142857
normal,0.204061,0
normal,0.204061,0
normal,0.200357,0.125
normal,0.204524,0.111111
normal,0.204061,0.1
normal,0.207394,0.090909
normal,0.205663,0.083333
normal,0.20844,0.076923
normal,0.205449,0
normal,0.205449,0.142857
anormal,0.203544,0.142857
normal,0.208306,0.125
normal,0.212473,0
normal,0.212473,0.111111
normal,0.216176,0
normal,0.216176,0.1
normal,0.21951,0
normal,0.21951,0.090909
normal,0.22254,0.083333
normal,0.219762,0
normal,0.213096,0.076923
normal,0.21566,0.071429
normal,0.218041,0
normal,0.218041,0.066667
normal,0.213596,0.0625
normal,0.21568,0
normal,0.21568,0.058824
normal,0.21764,0
normal,0.21764,0.055556
normal,0.213937,0.052632
normal,0.210929,0
normal,0.210929,0.05
normal,0.212596,0
normal,0.208429,0.047619
normal,0.206313,0.045455
normal,0.204495,0
normal,0.201464,0.043478
normal,0.200136,0
normal,0.197572,0.041667
normal,0.198961,0
normal,0.194199,0
normal,0.189437,0.04
normal,0.186603,0.076923
anormal,0.189167,0.076923
normal,0.188028,0.018868
normal,0.188657,0
normal,0.185323,0.018519
anormal,0.185941,0.018519
anormal,0.183528,0.018519
normal,0.181367,0
normal,0.181367,0
normal,0.178803,0
normal,0.176422,0.035714
normal,0.177613,0
normal,0.17539,0
normal,0.173307,0
normal,0.173307,0
normal,0.171346,0
normal,0.171346,0
normal,0.169494,0
normal,0.16774,0
normal,0.16774,0.034483
normal,0.167223,0
normal,0.167223,0
normal,0.165636,0
normal,0.16412,0
normal,0.16412,0.035714
normal,0.163862,0
normal,0.163862,0
anormal,0.162473,0
anormal,0.162473,0
normal,0.162473,0.018868
normal,0.161768,0
normal,0.159204,0.019231
anormal,0.157281,0.019231
anormal,0.157293,0.019231
normal,0.157934,0.04
normal,0.15865,0
normal,0.158033,0.041667
normal,0.158805,0
normal,0.158805,0.043478
normal,0.160254,0
normal,0.160254,0
normal,0.159063,0.045455
normal,0.160579,0
normal,0.160579,0.047619
normal,0.162166,0
normal,0.162166,0.05
normal,0.163833,0.052632
normal,0.165587,0
normal,0.165587,0.055556
normal,0.167439,0
normal,0.166289,0
normal,0.166289,0.058824
normal,0.16825,0
normal,0.16825,0.0625
normal,0.170333,0
normal,0.169143,0.066667
normal,0.171365,0
normal,0.171365,0.071429
normal,0.173746,0
normal,0.173746,0
normal,0.173117,0.076923
normal,0.175681,0
normal,0.17504,0
normal,0.174399,0
normal,0.173758,0.083333
anormal,0.175203,0.083333
normal,0.17798,0.157895
normal,0.181855,0
normal,0.181855,0
normal,0.180405,0.045455
normal,0.181921,0.047619
normal,0.183508,0
normal,0.181993,0
normal,0.181993,0
normal,0.180405,0
normal,0.180405,0.05
anormal,0.180405,0.05
normal,0.180318,0
normal,0.180318,0
normal,0.178466,0.1
normal,0.181799,0
normal,0.181799,0
normal,0.179838,0
normal,0.179838,0
normal,0.177755,0.090909
normal,0.180785,0
normal,0.178563,0
normal,0.178563,0.083333
normal,0.17896,0
normal,0.17896,0.076923
normal,0.181524,0
normal,0.17896,0
normal,0.17896,0.071429
normal,0.181341,0
normal,0.181341,0.066667
normal,0.180785,0
normal,0.178008,0.0625
normal,0.174828,0.058824
normal,0.176789,0
normal,0.176789,0.055556
normal,0.177125,0
normal,0.175538,0.052632
normal,0.177292,0.05
normal,0.178959,0
normal,0.178959,0.047619
normal,0.180546,0
normal,0.17888,0.045455
normal,0.178728,0.043478
normal,0.180177,0
normal,0.180177,0.041667
normal,0.178233,0.04
anormal,0.179566,0.04
normal,0.1809,0.164835
normal,0.186394,0.037736
normal,0.187652,0.018182
anormal,0.185228,0.018182
anormal,0.185834,0.018182
normal,0.18644,0
normal,0.183662,0.034483
normal,0.184812,0
normal,0.182247,0.033333
normal,0.183359,0.032258
normal,0.184434,0
normal,0.182053,0
normal,0.182053,0.03125
normal,0.180872,0
normal,0.180872,0.030303
normal,0.179799,0
normal,0.177838,0.029412
normal,0.178819,0
normal,0.176967,0
normal,0.176967,0
normal,0.175212,0.028571
normal,0.174498,0
anormal,0.174498,0
anormal,0.172911,0
normal,0.172911,0
anormal,0.171396,0
anormal,0.169946,0
normal,0.169946,0.027778
normal,0.169483,0
normal,0.16815,0
normal,0.166817,0
normal,0.161322,0.027027
normal,0.160965,0
normal,0.160359,0
normal,0.159753,0
normal,0.159147,0
